resolution_minutes,fold,model,c_value,term,standardized_coefficient
1,10,m1,0.01,joint_intensity,0.0522282664342
1,10,m1,0.01,magnitude_balance,-0.0209696017807
1,10,m1,0.01,absolute_magnitude_balance,0.004106751891
1,10,m1,0.01,intercept,0.201796034378
1,11,m0,10,coherence_15m,0.00691844638605
1,11,m0,10,coherence_30m,0.00660224172187
1,11,m0,10,coherence_60m,0.0829231255695
1,11,m0,10,common_direction,-0.0157237263652
1,11,m0,10,intercept,0.21293728776
1,11,m1,10,coherence_15m,0.00653180853343
1,11,m1,10,coherence_30m,0.00622074973807
1,11,m1,10,coherence_60m,0.0745868619385
1,11,m1,10,common_direction,-0.0153043590412
1,11,m1,10,joint_intensity,0.0533177335997
1,11,m1,10,magnitude_balance,-0.0217573203003
1,11,m1,10,absolute_magnitude_balance,0.003336097093
1,11,m1,10,intercept,0.213201985891
1,12,m0,0.01,coherence_15m,0.0061740691925
1,12,m0,0.01,coherence_30m,0.00664240056553
1,12,m0,0.01,coherence_60m,0.0799841018568
1,12,m0,0.01,common_direction,-0.0145566731942
1,12,m0,0.01,intercept,0.213750117204
1,12,m1,0.01,coherence_15m,0.00572760279087
1,12,m1,0.01,coherence_30m,0.00608929388459
1,12,m1,0.01,coherence_60m,0.0719661716764
1,12,m1,0.01,common_direction,-0.0141087633286
1,12,m1,0.01,joint_intensity,0.0540590402083
1,12,m1,0.01,magnitude_balance,-0.0208839285431
1,12,m1,0.01,absolute_magnitude_balance,0.00223568444545
1,12,m1,0.01,intercept,0.214065355798
1,13,m0,0.01,coherence_15m,0.00723829860107
1,13,m0,0.01,coherence_30m,0.0069725993957
1,13,m0,0.01,coherence_60m,0.0772117239286
1,13,m0,0.01,common_direction,-0.0128905269565
1,13,m0,0.01,intercept,0.217515195304
1,13,m1,0.01,coherence_15m,0.00678377573109
1,13,m1,0.01,coherence_30m,0.00642111840033
1,13,m1,0.01,coherence_60m,0.0691061373893
1,13,m1,0.01,common_direction,-0.0124269927874
1,13,m1,0.01,joint_intensity,0.0541336553264
1,13,m1,0.01,magnitude_balance,-0.0215884998375
1,13,m1,0.01,absolute_magnitude_balance,0.00163043149254
1,13,m1,0.01,intercept,0.217849557213
1,14,m0,10,coherence_15m,0.00483795488665
1,14,m0,10,coherence_30m,0.00642032549507
1,14,m0,10,coherence_60m,0.0833611812065
1,14,m0,10,common_direction,-0.012337736266
1,14,m0,10,intercept,0.228732346125
1,14,m1,10,coherence_15m,0.00449413048347
1,14,m1,10,coherence_30m,0.00578793139136
1,14,m1,10,coherence_60m,0.0744799887638
1,14,m1,10,common_direction,-0.0118672064568
1,14,m1,10,joint_intensity,0.056235186143
1,14,m1,10,magnitude_balance,-0.0221557117245
1,14,m1,10,absolute_magnitude_balance,0.00152215415501
