trial_id,run_id,resolution_minutes,outer_fold,model,c_value,inner_fold_count,inner_event_count,inner_oof_brier,inner_fold_brier_json,selected
7ab9521e9af9c708,fd436f33a3bfef1e,1,4,m0,0.1,3,16757,0.221047122486,"[0.1977866432569261, 0.23332453628107616, 0.23629745083864984]",False
c1b86e74b1c07a95,fd436f33a3bfef1e,1,4,m0,1,3,16757,0.221046289486,"[0.1977840648157833, 0.23332554253918453, 0.23629678859992692]",False
19e918c1eb47bb3e,fd436f33a3bfef1e,1,4,m0,10,3,16757,0.221046221729,"[0.1977838484473676, 0.23332564375534987, 0.23629672225802742]",True
f89308df99005c92,fd436f33a3bfef1e,1,4,m1,0.01,3,16757,0.220439574968,"[0.1971706494971468, 0.23276747285590466, 0.23564662552576712]",False
a1350ee6662adbb2,fd436f33a3bfef1e,1,4,m1,0.1,3,16757,0.220432701783,"[0.1971495534100473, 0.23277559310919307, 0.23564113736383735]",False
86618302759ff629,fd436f33a3bfef1e,1,4,m1,1,3,16757,0.220432035089,"[0.19714745146785267, 0.23277646221134096, 0.23564058626033835]",False
9c1e409541571e27,fd436f33a3bfef1e,1,4,m1,10,3,16757,0.220431968647,"[0.19714724137055484, 0.23277654973352827, 0.23564053112817987]",True
394e603eea972e68,fd436f33a3bfef1e,1,5,m0,0.01,3,16162,0.23077030544,"[0.23331501566962493, 0.23630395308096924, 0.22328014879104727]",True
dc7cde2ed7abd0de,fd436f33a3bfef1e,1,5,m0,0.1,3,16162,0.230770848692,"[0.23332453628107616, 0.23629745083864984, 0.2232784393813945]",False
d7307119c91eb369,fd436f33a3bfef1e,1,5,m0,1,3,16162,0.230770917494,"[0.23332554253918453, 0.23629678859992692, 0.2232782686885413]",False
f38a44437e7439fb,fd436f33a3bfef1e,1,5,m0,10,3,16162,0.230770924537,"[0.23332564375534987, 0.23629672225802742, 0.223278251625529]",False
9b9bde8c33bdadb2,fd436f33a3bfef1e,1,5,m1,0.01,3,16162,0.230307143142,"[0.23276747285590466, 0.23564662552576712, 0.2230750653941801]",True
f7844adfbb1498cb,fd436f33a3bfef1e,1,5,m1,0.1,3,16162,0.230307599761,"[0.23277559310919307, 0.23564113736383735, 0.22307353559222232]",False
c2eb95539f9ee379,fd436f33a3bfef1e,1,5,m1,1,3,16162,0.230307663757,"[0.23277646221134096, 0.23564058626033835, 0.22307338232273877]",False
0bbdf177f6ade255,fd436f33a3bfef1e,1,5,m1,10,3,16162,0.230307670354,"[0.23277654973352827, 0.23564053112817987, 0.2230733669929782]",False
ba94c03b2c54bec9,fd436f33a3bfef1e,1,6,m0,0.01,3,16098,0.229775977439,"[0.23630395308096924, 0.22328014879104727, 0.23035962848396965]",False
07a56430aeedba81,fd436f33a3bfef1e,1,6,m0,0.1,3,16098,0.229775169824,"[0.23629745083864984, 0.2232784393813945, 0.23036519988633655]",False
3a2c835873dd694c,fd436f33a3bfef1e,1,6,m0,1,3,16098,0.229775095019,"[0.23629678859992692, 0.2232782686885413, 0.23036578611559025]",False
f74ec4551e9c9242,fd436f33a3bfef1e,1,6,m0,10,3,16098,0.229775087605,"[0.23629672225802742, 0.223278251625529, 0.23036584504184074]",True
10ea17734ccf2cf4,fd436f33a3bfef1e,1,6,m1,0.01,3,16098,0.229476352706,"[0.23564662552576712, 0.2230750653941801, 0.2303021486021861]",False
1f81b31945571b0a,fd436f33a3bfef1e,1,6,m1,0.1,3,16098,0.229475852894,"[0.23564113736383735, 0.22307353559222232, 0.2303074883724559]",False
3ff91af9d55716e8,fd436f33a3bfef1e,1,6,m1,1,3,16098,0.229475810342,"[0.23564058626033835, 0.22307338232273877, 0.23030804714431502]",False
4c72a76e1680b4c7,fd436f33a3bfef1e,1,6,m1,10,3,16098,0.229475806166,"[0.23564053112817987, 0.2230733669929782, 0.23030810328265897]",True
5b296748ff592548,fd436f33a3bfef1e,1,7,m0,0.01,3,16862,0.221406176499,"[0.22328014879104727, 0.23035962848396965, 0.21144956341511054]",True
b17aef80c470f446,fd436f33a3bfef1e,1,7,m0,0.1,3,16862,0.221406996433,"[0.2232784393813945, 0.23036519988633655, 0.21144846930896768]",False
936c06645d4a62af,fd436f33a3bfef1e,1,7,m0,1,3,16862,0.221407091617,"[0.2232782686885413, 0.23036578611559025, 0.2114483709676118]",False
e03557e4e8d33ac1,fd436f33a3bfef1e,1,7,m0,10,3,16862,0.221407101274,"[0.223278251625529, 0.23036584504184074, 0.21144836124889368]",False
c0c5c38447189382,fd436f33a3bfef1e,1,7,m1,0.01,3,16862,0.221242633327,"[0.2230750653941801, 0.2303021486021861, 0.2112290265120783]",True
c7c2924f2e593688,fd436f33a3bfef1e,1,7,m1,0.1,3,16862,0.221244170514,"[0.22307353559222232, 0.2303074883724559, 0.21123002907646063]",False
042a0570c6c85757,fd436f33a3bfef1e,1,7,m1,1,3,16862,0.221244337885,"[0.22307338232273877, 0.23030804714431502, 0.21123014615603955]",False
b5a2348b6a683c34,fd436f33a3bfef1e,1,7,m1,10,3,16862,0.221244354765,"[0.2230733669929782, 0.23030810328265897, 0.21123015803988268]",False
e49169d84a0fb150,fd436f33a3bfef1e,1,8,m0,0.01,3,16397,0.224340024609,"[0.23035962848396965, 0.21144956341511054, 0.2327774737057715]",True
e2e79f40ddeca3cd,fd436f33a3bfef1e,1,8,m0,0.1,3,16397,0.224343452718,"[0.23036519988633655, 0.21144846930896768, 0.2327838290772143]",False
0247d9214949402b,fd436f33a3bfef1e,1,8,m0,1,3,16397,0.224343814135,"[0.23036578611559025, 0.2114483709676118, 0.232784480915822]",False
78b4a548de87ddea,fd436f33a3bfef1e,1,8,m0,10,3,16397,0.22434385047,"[0.23036584504184074, 0.21144836124889368, 0.2327845462666756]",False
f18c63fcc657c20e,fd436f33a3bfef1e,1,8,m1,0.01,3,16397,0.224097301274,"[0.2303021486021861, 0.2112290265120783, 0.23231688645952836]",True
f2615de50146b2a7,fd436f33a3bfef1e,1,8,m1,0.1,3,16397,0.224101063341,"[0.2303074883724559, 0.21123002907646063, 0.23232215425594202]",False
3cf910d838c6d3a0,fd436f33a3bfef1e,1,8,m1,1,3,16397,0.224101457782,"[0.23030804714431502, 0.21123014615603955, 0.23232269405859207]",False
