trial_id,run_id,resolution_minutes,outer_fold,model,alpha,inner_fold_count,inner_event_count,inner_oof_mean_squared_error,inner_fold_mse_json,selected
641f8744ca75bca3,0879361214fdad9f,5,15,nq_only,10,3,6941,49.4185214874,"[20.79505306334256, 33.54171719435573, 91.16975594716759]",False
acc0ea29c2e6f2c6,0879361214fdad9f,5,15,nq_only,100,3,6941,49.4176428896,"[20.795155543339877, 33.54107480101082, 91.16774607840965]",False
5ca12dd6a6acc2ad,0879361214fdad9f,5,15,nq_only,1000,3,6941,49.4099507991,"[20.79619683302653, 33.5355668629632, 91.1499042865138]",True
cce4c58541b95ed9,0879361214fdad9f,5,15,cross_market,0.01,3,6941,49.4446037007,"[20.796357844797573, 33.518555396600334, 91.26653326353158]",False
d84015e0fa82fb4c,0879361214fdad9f,5,15,cross_market,0.1,3,6941,49.4446019576,"[20.79636036252767, 33.518552565247106, 91.26652866482311]",False
663ee5fc9baff8f7,0879361214fdad9f,5,15,cross_market,1,3,6941,49.4445845385,"[20.796385527345457, 33.51852427694918, 91.26648270110795]",False
c9461b129823cedd,0879361214fdad9f,5,15,cross_market,10,3,6941,49.4444115951,"[20.79663593207564, 33.51824389298977, 91.26602538228424]",False
ff669e55123239bb,0879361214fdad9f,5,15,cross_market,100,3,6941,49.4427950084,"[20.799020448841492, 33.51566763661049, 91.26166686033316]",False
e71ee4ee875e00cb,0879361214fdad9f,5,15,cross_market,1000,3,6941,49.4320888557,"[20.814667163814896, 33.5013079917318, 91.23030507604396]",True
ad998a34aeaad34f,0879361214fdad9f,1,0,nq_only,0.01,3,30728,14.1616319091,"[16.667511779999693, 13.29374723053834, 12.346906834187452]",False
7068663c1a75ba4f,0879361214fdad9f,1,0,nq_only,0.1,3,30728,14.1616313018,"[16.667510683389256, 13.29374688272887, 12.346906486347663]",False
8394d78ebbe9b2cc,0879361214fdad9f,1,0,nq_only,1,3,30728,14.1616252302,"[16.667499718976316, 13.293743405089907, 12.346903008219062]",False
5351e0a480216a61,0879361214fdad9f,1,0,nq_only,10,3,30728,14.1615645959,"[16.667390243708336, 13.293708674218816, 12.346868253839494]",False
05f72748c8f92749,0879361214fdad9f,1,0,nq_only,100,3,30728,14.1609663676,"[16.666312105007684, 13.293365862632886, 12.346523379198235]",False
d907709ad79718c8,0879361214fdad9f,1,0,nq_only,1000,3,30728,14.1556920929,"[16.65695914321902, 13.2903386487755, 12.343321741125498]",True
118bef0a0a70ed5e,0879361214fdad9f,1,0,cross_market,0.01,3,30728,14.1862289205,"[16.69456602832824, 13.29660377523673, 12.391781428385496]",False
9827304c544dd167,0879361214fdad9f,1,0,cross_market,0.1,3,30728,14.1862277822,"[16.694564541196122, 13.296602845739203, 12.391780450018073]",False
2827141f8fc709bd,0879361214fdad9f,1,0,cross_market,1,3,30728,14.1862164017,"[16.69454967169204, 13.296593552610583, 12.391770667859841]",False
d5606da2c86b3d91,0879361214fdad9f,1,0,cross_market,10,3,30728,14.1861027689,"[16.694401158739804, 13.296500805405879, 12.391672997400173]",False
59a663262bb7fd63,0879361214fdad9f,1,0,cross_market,100,3,30728,14.1849835158,"[16.692934563092983, 13.295591192481504, 12.390710949679725]",False
079d52d6c058a76c,0879361214fdad9f,1,0,cross_market,1000,3,30728,14.1752922434,"[16.680158174431853, 13.287921219128314, 12.382247817025664]",True
98f220468f6efb7b,0879361214fdad9f,1,1,nq_only,0.01,3,30304,18.5545288119,"[13.29374723053834, 12.346906834187452, 29.794575056173578]",False
f57bbd860bbd344e,0879361214fdad9f,1,1,nq_only,0.1,3,30304,18.5545284781,"[13.29374688272887, 12.346906486347663, 29.79457474974272]",False
548568b7a28b8714,0879361214fdad9f,1,1,nq_only,1,3,30304,18.5545251398,"[13.293743405089907, 12.346903008219062, 29.794571685715123]",False
9286a08d436c4b5b,0879361214fdad9f,1,1,nq_only,10,3,30304,18.5544917906,"[13.293708674218816, 12.346868253839494, 29.794541073515674]",False
8c2cc44c12a1b44b,0879361214fdad9f,1,1,nq_only,100,3,30304,18.5541616295,"[13.293365862632886, 12.346523379198235, 29.79423773689071]",False
2884a2efe3929362,0879361214fdad9f,1,1,nq_only,1000,3,30304,18.5511631035,"[13.2903386487755, 12.343321741125498, 29.791462247734845]",True
985dc74df2a8b075,0879361214fdad9f,1,1,cross_market,0.01,3,30304,18.5629241177,"[13.29660377523673, 12.391781428385496, 29.77369987600017]",False
45e8ec34dd84ec80,0879361214fdad9f,1,1,cross_market,0.1,3,30304,18.5629233937,"[13.296602845739203, 12.391780450018073, 29.773699602320605]",False
13e9a57448f8781d,0879361214fdad9f,1,1,cross_market,1,3,30304,18.5629161545,"[13.296593552610583, 12.391770667859841, 29.77369686572287]",False
d097dd369553d05c,0879361214fdad9f,1,1,cross_market,10,3,30304,18.5628438811,"[13.296500805405879, 12.391672997400173, 29.77366951951597]",False
e5c04d1a70d7d4b9,0879361214fdad9f,1,1,cross_market,100,3,30304,18.5621326104,"[13.295591192481504, 12.390710949679725, 29.773398015143773]",False
3f488d837217f3ee,0879361214fdad9f,1,1,cross_market,1000,3,30304,18.5559415977,"[13.287921219128314, 12.382247817025664, 29.770870479877736]",True
fef1fd20653cb46b,0879361214fdad9f,1,2,nq_only,0.01,3,30001,22.7096946805,"[12.346906834187452, 29.794575056173578, 25.586736383035507]",False
05e4000f92fe8c57,0879361214fdad9f,1,2,nq_only,0.1,3,30001,22.7096943607,"[12.346906486347663, 29.79457474974272, 25.586736076756594]",False
c14461094c545c1e,0879361214fdad9f,1,2,nq_only,1,3,30001,22.7096911623,"[12.346903008219062, 29.794571685715123, 25.58673301410497]",False
4dbbfb1ecab0cc78,0879361214fdad9f,1,2,nq_only,10,3,30001,22.7096592013,"[12.346868253839494, 29.794541073515674, 25.586702401333014]",False
fe35f646d6116df1,0879361214fdad9f,1,2,nq_only,100,3,30001,22.7093418655,"[12.346523379198235, 29.79423773689071, 25.58639764173806]",False
a4e073a1a6a77e82,0879361214fdad9f,1,2,nq_only,1000,3,30001,22.7063804695,"[12.343321741125498, 29.791462247734845, 25.583480831149174]",True
a1300392524d2689,0879361214fdad9f,1,2,cross_market,0.01,3,30001,22.6894502052,"[12.391781428385496, 29.77369987600017, 25.503597490901463]",False
50711a5ccda8debf,0879361214fdad9f,1,2,cross_market,0.1,3,30001,22.6894497841,"[12.391780450018073, 29.773699602320605, 25.503597463147237]",False
fca30867d776210b,0879361214fdad9f,1,2,cross_market,1,3,30001,22.6894455741,"[12.391770667859841, 29.77369686572287, 25.503597185557076]",False
