resolution_minutes,fold,model,alpha,term,coefficient_bps_per_feature_sd
5,7,cross_market,1000,nq_aligned_momentum_15m,0.771774901988
5,7,cross_market,1000,nq_aligned_momentum_30m,-0.894666603872
5,7,cross_market,1000,nq_aligned_momentum_60m,0.851452479247
5,7,cross_market,1000,session_sin_1,-0.0583072677589
5,7,cross_market,1000,session_cos_1,-0.0571017369975
5,7,cross_market,1000,session_sin_2,0.0219550510037
5,7,cross_market,1000,session_cos_2,0.114719390062
5,7,cross_market,1000,weekday_tuesday,0.0933409148534
5,7,cross_market,1000,weekday_wednesday,0.206812285135
5,7,cross_market,1000,weekday_thursday,0.118545272778
5,7,cross_market,1000,weekday_friday,-0.159212140299
5,7,cross_market,1000,btc_magnitude,0.237374382703
5,7,cross_market,1000,btc_aligned_momentum_5m,-0.281783845675
5,7,cross_market,1000,btc_aligned_momentum_15m,0.0407911165242
5,7,cross_market,1000,btc_aligned_momentum_30m,0.0452174474372
5,7,cross_market,1000,btc_aligned_momentum_60m,-0.0366805241902
5,7,cross_market,1000,coherence_15m,0.0292363516248
5,7,cross_market,1000,coherence_30m,-0.0559282227518
5,7,cross_market,1000,coherence_60m,0.0873233758761
5,7,cross_market,1000,joint_intensity,-0.407546349721
5,7,cross_market,1000,magnitude_balance,0.216832497471
5,7,cross_market,1000,absolute_magnitude_balance,-0.0785394897969
5,7,cross_market,1000,intercept,-0.124062017903
5,8,nq_only,1000,nq_direction,0.00674628656503
5,8,nq_only,1000,nq_magnitude,0.370194767287
5,8,nq_only,1000,nq_aligned_momentum_5m,-0.653625834931
5,8,nq_only,1000,nq_aligned_momentum_15m,0.807133512944
5,8,nq_only,1000,nq_aligned_momentum_30m,-0.912666703926
5,8,nq_only,1000,nq_aligned_momentum_60m,0.825865046451
5,8,nq_only,1000,session_sin_1,-0.0486456273016
5,8,nq_only,1000,session_cos_1,-0.0527824512757
5,8,nq_only,1000,session_sin_2,0.00983467775662
5,8,nq_only,1000,session_cos_2,0.0986592745383
5,8,nq_only,1000,weekday_tuesday,0.105794327385
5,8,nq_only,1000,weekday_wednesday,0.208118690986
5,8,nq_only,1000,weekday_thursday,0.104455487952
5,8,nq_only,1000,weekday_friday,-0.12663219344
